interested_course_id,professor,semester,year
1,"WRIGHT, B",fall,2019
1,"SIMON, L",fall,2015
1,"SUNDING, D",fall,2014
1,"LIGON, E",fall,2013
2,"SUNDING, D",spring,2020
2,"PERLOFF, J",spring,2019
2,"PERLOFF, J",spring,2018
2,"PERLOFF, J",spring,2017
2,"PERLOFF, J",spring,2014
2,"PERLOFF, J",spring,2013
3,"MAHAJAN, A",fall,2019
3,"MAHAJAN, A",fall,2018
3,"MAHAJAN, A",fall,2017
3,"MAHAJAN, A",fall,2016
3,"GIBBONS, C",fall,2015
3,"GIBBONS, C",fall,2014
3,"GIBBONS, C",fall,2013
4,"SIMON, L",fall,2014
4,"SIMON, L",fall,2013
5,"LIGON, E",spring,2020
5,"LEVY, A",spring,2019
5,"AUFFHAMMER, M",spring,2018
5,"AUFFHAMMER, M",spring,2017
5,"AUFFHAMMER, M",spring,2016
5,"AUFFHAMMER, M",spring,2015
5,"AUFFHAMMER, M",spring,2014
5,"AUFFHAMMER, M",spring,2013
6,"ANDERSON, M",fall,2019
6,"ANDERSON, M",fall,2018
6,"JAIN, A",fall,2017
6,"ANDERSON, M",fall,2016
6,"ANDERSON, M",fall,2015
6,"ANDERSON, M",fall,2014
6,"ANDERSON, M",fall,2013
8,"LIGON, E",fall,2019
8,"LIGON, E",fall,2018
8,"MAHAJAN, A",fall,2017
8,"MAHAJAN, A",fall,2016
8,"MAHAJAN, A",fall,2015
8,"SADOULET, E",fall,2014
8,"SADOULET, E",fall,2013
9,"LIGON, E",spring,2020
9,"LIGON, E",spring,2019
9,"MAHAJAN, A",spring,2018
9,"MAHAJAN, A",spring,2017
9,"SADOULET, E",spring,2014
9,"SADOULET, E",spring,2013
11,"SUNDING, D",fall,2013
12,"SUNDING, D",spring,2013
14,"MAHAJAN, A",fall,2017
14,"SADOULET, E",fall,2016
14,"SADOULET, E",fall,2015
14,"SADOULET, E",fall,2014
14,"SADOULET, E",fall,2013
15,"DEJANVRY, A",fall,2018
15,"DEJANVRY, A",fall,2017
15,"DEJANVRY, A",fall,2016
15,"DEJANVRY, A",fall,2015
15,"DEJANVRY, A",fall,2014
15,"DEJANVRY, A",fall,2013
17,"SHAPIRO, J",fall,2018
17,"KARP, L",fall,2017
17,"SALLEE, J",fall,2016
17,"SALLEE, J",spring,2016
17,"BERCK, P",fall,2014
17,"TRAEGER, C",fall,2013
20,"SHAPIRO, J",spring,2020
20,"SALLEE, J",spring,2019
20,"SALLEE, J",spring,2018
20,"FOWLIE, M",spring,2017
20,"FOWLIE, M",spring,2016
20,"FOWLIE, M",spring,2015
20,"FOWLIE, M",spring,2014
20,"SUNDING, D",spring,2013
22,"AUFFHAMMER, M",fall,2018
22,"AUFFHAMMER, M",fall,2016
22,"TRAEGER, C",spring,2015
22,"ZILBERMAN, D",spring,2014
26,"DE LA GUARDIA FIGUEROA, F",spring,2020
26,"GILLESS, J",fall,2019
26,"RAUSSER, G",spring,2019
26,"WRIGHT, B",fall,2018
26,"RAUSSER, G",spring,2018
26,"BERCK, P",fall,2017
26,"DUQUENNOIS, C",summer,2017
26,"RAUSSER, G",spring,2017
26,"BERCK, P",fall,2016
26,"RAUSSER, G",spring,2016
26,"BERCK, P",fall,2015
26,"RAUSSER, G",spring,2015
26,"BERCK, P",fall,2014
26,"VAN DUSEN, M",spring,2014
26,"VAN DUSEN, M",fall,2013
26,"RAUSSER, G",spring,2013
26,"BERCK, P",fall,2012
26,"RAUSSER, G",spring,2012
28,"BIARDEAU, L",spring,2020
28,"SIMON, L",fall,2019
28,"PERLOFF, J",summer,2019
28,"PERLOFF, J",spring,2019
28,"KAMALA, C",fall,2018
28,"PERLOFF, J",spring,2018
28,"LIGON, E",fall,2017
28,"PERLOFF, J",spring,2017
28,"LIGON, E",fall,2016
28,"PERLOFF, J",spring,2016
28,"LIGON, E",fall,2015
28,"KAMALA, C",spring,2015
28,"KAMALA, C",fall,2014
28,"KAMALA, C",spring,2014
28,"LIGON, E",fall,2013
28,"PERLOFF, J",spring,2013
28,"LIGON, E",fall,2012
28,"PERLOFF, J",spring,2012
28,"LIGON, E",fall,2011
28,"PERLOFF, J",spring,2011
28,"LIGON, E",fall,2010
28,"PERLOFF, J",spring,2010
28,"ZETLAND, D",fall,2009
28,"LIGON, E",fall,2008
29,"SALLEE, J",spring,2020
29,"PERLOFF, J",summer,2019
29,"ROLAND-HOLST, D",spring,2019
29,"SUNDING, D",summer,2018
29,"SALLEE, J",spring,2018
29,"SCHATZBERG, M",summer,2017
29,"SALLEE, J",spring,2017
29,"ROLAND-HOLST, D",spring,2016
29,"OLLIVIER, H",spring,2015
29,"ZILBERMAN, D",spring,2014
29,"ZILBERMAN, D",spring,2013
29,"ZILBERMAN, D",spring,2012
29,"ZILBERMAN, D",spring,2011
29,"ZILBERMAN, D",spring,2010
29,"ZILBERMAN, D",spring,2009
29,"ZILBERMAN, D",fall,2007
29,"ZILBERMAN, D",spring,2007
30,"KARP, L",fall,2019
30,"KARP, L",fall,2018
30,"KARP, L",fall,2017
30,"KARP, L",fall,2016
30,"KARP, L",fall,2015
30,"KARP, L",fall,2014
30,"KARP, L",fall,2013
30,"SUNDING, D",fall,2012
30,"SUNDING, D",fall,2011
30,"FARZIN, Y",fall,2010
30,"SUNDING, D",fall,2009
30,"SUNDING, D",fall,2008
31,"GETZ, W",fall,2017
31,"GETZ, W",fall,2015
31,"GETZ, W",fall,2014
31,"GETZ, W",fall,2013
31,"GETZ, W",fall,2011
31,"GETZ, W",fall,2010
31,"GETZ, W",spring,2009
31,"GETZ, W",fall,2007
32,"VILLAS-BOAS, S",spring,2020
32,"MAGRUDER, J",fall,2019
32,"SEARS, J",summer,2019
32,"VILLAS-BOAS, S",spring,2019
32,"MAGRUDER, J",fall,2018
32,"SUNDING, D",summer,2018
32,"VILLAS-BOAS, S",spring,2018
32,"JAIN, A",fall,2017
32,"LANE, G",summer,2017
32,"VILLAS-BOAS, S",spring,2017
32,"SADOULET, E",fall,2016
32,"SADOULET, E",fall,2015
32,"BUCK, S",spring,2015
32,"SADOULET, E",fall,2014
32,"BUCK, S",spring,2014
32,"SADOULET, E",fall,2013
32,"SADOULET, E",fall,2012
32,"SADOULET, E",fall,2011
32,"SADOULET, E",fall,2010
32,"CRESPI, J",spring,2010
32,"SADOULET, E",fall,2009
32,"SADOULET, E",fall,2008
33,"KARP, L",fall,2012
33,"KARP, L",fall,2011
34,"ROMM, J",fall,2010
34,"ROMM, J",fall,2009
34,"ROMM, J",fall,2008
34,"ROMM, J",spring,2007
35,"KIESEL, K",spring,2015
35,"VILLAS-BOAS, S",spring,2014
35,"VILLAS-BOAS, S",spring,2013
35,"VILLAS-BOAS, S",spring,2012
35,"VILLAS-BOAS, S",spring,2011
35,"VILLAS-BOAS, S",spring,2010
35,"VILLAS-BOAS, S",spring,2009
35,"VILLAS-BOAS, S",fall,2007
35,"VILLAS-BOAS, S",spring,2007
36,"WRIGHT, B",fall,2019
36,"WRIGHT, B",spring,2019
36,"WRIGHT, B",spring,2018
36,"WRIGHT, B",spring,2017
36,"WRIGHT, B",spring,2016
36,"WRIGHT, B",spring,2015
36,"WRIGHT, B",fall,2012
36,"WRIGHT, B",fall,2011
36,"WRIGHT, B",fall,2010
36,"WRIGHT, B",fall,2009
36,"WRIGHT, B",fall,2008
37,"ANDERSON, M",fall,2019
37,"ANDERSON, M",fall,2016
37,"ANDERSON, M",fall,2015
37,"ANDERSON, M",fall,2014
37,"BUCK, S",fall,2013
37,"ANDERSON, M",fall,2012
37,"ANDERSON, M",fall,2011
37,"ANDERSON, M",fall,2010
37,"ANDERSON, M",spring,2009
38,"FOWLIE, M",spring,2020
38,"FOWLIE, M",spring,2019
38,"FOWLIE, M",spring,2017
38,"FOWLIE, M",spring,2016
38,"FOWLIE, M",spring,2015
38,"FOWLIE, M",spring,2014
38,"FOWLIE, M",spring,2012
38,"FOWLIE, M",spring,2011
39,"FABER, B",spring,2020
39,"MAHAJAN, A",fall,2019
39,"FABER, B",spring,2019
39,"GONZALEZ-NAVARRO, M",fall,2018
39,"ROLAND-HOLST, D",fall,2017
39,"FABER, B",spring,2017
39,"MAHAJAN, A",fall,2016
39,"FABER, B",spring,2016
39,"MAHAJAN, A",fall,2015
39,"MAHAJAN, A",fall,2014
39,"DEJANVRY, A",fall,2013
39,"DEJANVRY, A",fall,2012
39,"DEJANVRY, A",fall,2011
39,"DEJANVRY, A",fall,2010
39,"DEJANVRY, A",fall,2009
39,"DEJANVRY, A",fall,2008
40,"RITCHIE, E",spring,2020
40,"GONZALEZ-NAVARRO, M",spring,2018
40,"MAGRUDER, J",fall,2016
40,"MAGRUDER, J",fall,2015
40,"MAGRUDER, J",fall,2014
40,"MAGRUDER, J",fall,2013
40,"MAGRUDER, J",fall,2012
40,"WYDICK, B",fall,2011
40,"MAGRUDER, J",fall,2010
40,"MAGRUDER, J",fall,2009
40,"MAGRUDER, J",spring,2009
40,"MAGRUDER, J",fall,2007
41,"LIGON, E",spring,2020
41,"LIGON, E",spring,2019
41,"MARSH, R",spring,2014
41,"MARSH, R",fall,2013
41,"MARSH, R",spring,2013
41,"MARSH, R",spring,2012
41,"MARSH, R",spring,2011
41,"MARSH, R",spring,2010
41,"TRIST, C",spring,2007
42,"BOETTIGER, S",spring,2014
42,"BOETTIGER, S",spring,2013
